tag_code,project_code,tag_group,tagger,bucket,lot,species,length,weight,fish_tag_date,tag_activate_date,tag_release_date,release_location,release_location_xlat,release_location_latitude,release_location_longitude,mort_xlat,pri,tag_AssignedRelease,survival_use,tag_status,fish_status,release_type
G72ED447B,GPUD_Survival,live_release,A,1,Lot 2,11H,144,26.200000762939453,2026-04-21,2026-04-20T23:08:25Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G723C491A,GPUD_Survival,live_release,A,1,Lot 2,11H,165,42.900001525878906,2026-04-21,2026-04-21T00:05:04Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G7234B238,GPUD_Survival,live_release,A,2,Lot 3,11W,127,18.600000381469727,2026-04-21,2026-04-21T00:05:49Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G728A5C10,GPUD_Survival,live_release,A,2,Lot 3,11H,138,24.5,2026-04-21,2026-04-21T00:06:41Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G72712C52,GPUD_Survival,live_release,A,3,Lot 1,11H,155,32.70000076293945,2026-04-21,2026-04-21T00:07:22Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G7232AD4E,GPUD_Survival,live_release,A,3,Lot 1,11H,155,36,2026-04-21,2026-04-21T00:08:06Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G721D9757,GPUD_Survival,live_release,A,4,Lot 2,11H,173,50.599998474121094,2026-04-21,2026-04-21T00:09:02Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G725D97CC,GPUD_Survival,live_release,A,4,Lot 1,11H,145,29.799999237060547,2026-04-21,2026-04-21T00:10:22Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G720AAA96,GPUD_Survival,live_release,A,5,Lot 3,11H,137,23.899999618530273,2026-04-21,2026-04-21T00:11:12Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
G72E643DB,GPUD_Survival,live_release,A,5,Lot 1,11H,145,26,2026-04-21,2026-04-21T00:11:57Z,2026-04-22T20:05:00Z,Rock Island Tailrace,Rock Island Tailrace - CHINOOK,47.341487,-120.090402,0,3,RC01,TRUE,Active,Alive,Helicopter
