node_code,deploy_date,location,river_km
101,2026-03-30 00:00:00,Crescent Bar,274.33606323089
102,2026-03-30 00:00:00,Crescent Bar,274.33606323089
103,2026-03-30 00:00:00,Crescent Bar,274.33606323089
104,2026-03-30 00:00:00,Crescent Bar,274.33606323089
201,2026-03-31 00:00:00,Sunland,267.314551306747
203,2026-03-31 00:00:00,Sunland,267.314551306747
205,2026-03-31 00:00:00,Sunland,267.314551306747
301,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
302,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
303,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
304,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
305,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
306,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
307,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
308,2026-04-14 00:00:00,Wanapum BRZ,258.36678389899
324,2026-04-23 00:00:00,Wanapum,258.24250935166
331,2026-04-01 00:00:00,Wanapum Tailrace,257.49686206768
332,2026-04-01 00:00:00,Wanapum Tailrace,257.49686206768
333,2026-04-01 00:00:00,Wanapum Tailrace,257.49686206768
401,2026-03-31 00:00:00,Mattawa,253.209390184796
402,2026-03-31 00:00:00,Mattawa,253.209390184796
404,2026-03-31 00:00:00,Mattawa,253.209390184796
405,2026-03-31 00:00:00,Mattawa,253.209390184796
501,2026-04-14 00:00:00,Priest BRZ,246.933525544633
502,2026-04-14 00:00:00,Priest BRZ,246.933525544633
503,2026-04-14 00:00:00,Priest BRZ,246.933525544633
504,2026-04-14 00:00:00,Priest BRZ,246.933525544633
505,2026-04-14 00:00:00,Priest BRZ,246.933525544633
505,2026-04-29 00:00:00,Priest BRZ,246.933525544633
506,2026-04-14 00:00:00,Priest BRZ,246.933525544633
507,2026-04-14 00:00:00,Priest BRZ,246.933525544633
508,2026-04-14 00:00:00,Priest BRZ,246.933525544633
509,2026-04-14 00:00:00,Priest BRZ,246.933525544633
510,2026-04-14 00:00:00,Priest BRZ,246.933525544633
522,2026-03-06 00:00:00,Priest,246.809250997303
525,2026-03-25 00:00:00,Priest,246.809250997303
526,2026-03-25 00:00:00,Priest,246.809250997303
531,2026-04-06 00:00:00,Priest Tailrace,246.001466439658
532,2026-04-06 00:00:00,Priest Tailrace,246.001466439658
602,2026-04-06 00:00:00,Vernita Bridge,241.40330818845
702,2026-04-06 00:00:00,White Bluffs,229.410814371109
801,2026-04-08 00:00:00,Lower Ringold,218.163967837747
801,2026-06-15 00:00:00,Lower Ringold,218.163967837747
802,2026-04-08 00:00:00,Lower Ringold,218.163967837747
803,2026-04-08 00:00:00,Lower Ringold,218.163967837747
804,2026-04-08 00:00:00,Lower Ringold,218.163967837747
804,2026-06-15 00:00:00,Lower Ringold,218.163967837747
805,2026-04-08 00:00:00,Lower Ringold,218.163967837747
901,2026-04-08 00:00:00,Hanford,210.58322045062
901,2026-06-15 00:00:00,Hanford,210.58322045062
902,2026-04-08 00:00:00,Hanford,210.58322045062
903,2026-04-08 00:00:00,Hanford,210.58322045062
903,2026-06-15 00:00:00,Hanford,210.58322045062
904,2026-04-08 00:00:00,Hanford,210.58322045062
905,2026-04-08 00:00:00,Hanford,210.58322045062
905,2026-06-15 00:00:00,Hanford,210.58322045062
906,2026-04-08 00:00:00,Hanford,210.58322045062
906,2026-06-15 00:00:00,Hanford,210.58322045062
